bigram;freq
ab;0.669675945
ac;0.727497433
ad;0.787484017
af;0.589988682
ag;0.660759221
ah;0.445565691
ai;0.766019377
ak;0.653013136
al;0.811917491
am;0.689055104
an;0.90926237
ao;0.263617752
ap;0.646738265
ar;0.841911013
as;0.882261143
at;0.900949977
au;0.58246738
av;0.757458317
aw;0.638377783
ay;0.723031033
ba;0.59516415
bb;0.263617752
be;0.809608417
bi;0.518927049
bj;0.389395384
bl;0.672928656
bo;0.662177044
br;0.597046183
bs;0.486400597
bt;0.403725029
bu;0.707536108
bv;0.293655242
by;0.605441714
ca;0.773052141
cc;0.528374694
ce;0.798063097
ch;0.739758856
ci;0.635745765
ck;0.649131824
cl;0.608859512
co;0.796765772
cq;0.293655242
cr;0.618540296
ct;0.705864725
cu;0.615403449
cy;0.548109085
da;0.622094524
dd;0.56243873
de;0.813806771
dg;0.385514072
di;0.767713431
dl;0.548109085
dm;0.427917328
dn;0.470644637
do;0.771571385
dr;0.632596591
ds;0.581045154
du;0.507274179
dv;0.302139696
dw;0.317427403
dy;0.53814735
ea;0.820095382
eb;0.358975631
ec;0.713088117
ed;0.913457993
ee;0.769796346
ef;0.633956858
eg;0.472506267
eh;0.454549728
ei;0.579605038
ek;0.317427403
el;0.800193163
em;0.730833215
en;0.892175638
eo;0.400307231
ep;0.629358338
eq;0.389395384
er;0.940269401
es;0.851266457
et;0.731604179
eu;0.460853397
ev;0.706104993
ew;0.584568132
ex;0.661115326
ey;0.631680685
fa;0.670988139
fe;0.679775071
ff;0.611082645
fi;0.669014164
fl;0.51260015
fo;0.748536819
fr;0.690163953
ft;0.600719901
fu;0.602513479
fy;0.263617752
ga;0.62602582
ge;0.700950334
gg;0.452368943
gh;0.732560641
gi;0.572119514
gl;0.513893811
gm;0.358975631
gn;0.481385734
go;0.642634323
gr;0.628888162
gs;0.518927049
gu;0.507274179
ha;0.914629034
he;1
hf;0.263617752
hi;0.849290719
hl;0.368521802
hm;0.263617752
hn;0.636188658
ho;0.784134085
hr;0.529502661
hs;0.263617752
ht;0.691807346
hu;0.533906579
hy;0.50311053
ia;0.628416047
ib;0.580327361
ic;0.733130705
id;0.779929959
ie;0.741709894
if;0.663229006
ig;0.691807346
ik;0.532821379
il;0.754351268
im;0.745514973
in;0.949108087
io;0.729862152
ip;0.466828026
ir;0.701451375
is;0.878009678
it;0.883542067
iu;0.284491334
iv;0.631680685
ix;0.410268966
iz;0.472506267
je;0.443205035
jo;0.614872183
ju;0.544227774
ke;0.753243569
kf;0.284491334
ki;0.594529867
kl;0.396784253
kn;0.622094524
ks;0.419432875
la;0.751642315
ld;0.744832481
le;0.819294454
lf;0.62602582
lg;0.302139696
li;0.772784333
lk;0.443205035
ll;0.830352341
lm;0.413405813
lo;0.739937603
lp;0.430611282
lr;0.324368178
ls;0.547151024
lt;0.574417004
lu;0.542236632
lv;0.302139696
lw;0.4332433
ly;0.817946995
ma;0.769658658
mb;0.540210248
me;0.84256878
mi;0.748536819
ml;0.263617752
mm;0.464870923
mn;0.302139696
mo;0.731987723
mp;0.620584774
mr;0.688496627
ms;0.520151529
mu;0.640099435
my;0.697380271
na;0.640525833
nc;0.737773991
nd;0.882775234
ne;0.822725384
nf;0.497312444
ng;0.857317763
ni;0.720730745
nk;0.59642227
nl;0.598897777
nn;0.564936744
no;0.838564267
nq;0.385514072
ns;0.708715189
nt;0.84423277
nu;0.532821379
nv;0.504515305
nx;0.302139696
ny;0.601320888
oa;0.489625817
ob;0.543236532
oc;0.653013136
od;0.630757391
oe;0.468752235
of;0.828719107
og;0.501688304
oh;0.631219969
oi;0.663924982
ok;0.650700174
ol;0.688496627
om;0.778790768
on;0.88842948
oo;0.766728282
op;0.609976474
or;0.836815168
os;0.698668111
ot;0.798277896
ou;0.913222341
ov;0.615403449
ow;0.773851826
ox;0.337102149
oy;0.447878653
pa;0.666328112
pe;0.741004267
ph;0.438332481
pi;0.607163366
pl;0.665646635
po;0.721782063
pp;0.625055579
pr;0.702694468
ps;0.530619624
pt;0.536046599
pu;0.543236532
qu;0.664961078
ra;0.733320098
rb;0.293655242
rc;0.581758476
rd;0.687935411
re;0.918260229
rf;0.416459
rg;0.48308188
rh;0.4332433
ri;0.775957406
rk;0.527235503
rl;0.549059197
rm;0.56818484
rn;0.634854805
ro;0.791082002
rp;0.491204983
rr;0.646738265
rs;0.765449076
rt;0.686520217
ru;0.600719901
rv;0.484753263
rw;0.413405813
ry;0.730445778
sa;0.741004267
sb;0.427917328
sc;0.572890478
sd;0.348560478
se;0.839166439
sf;0.342974602
sg;0.284491334
sh;0.806555229
si;0.767432824
sk;0.592605658
sl;0.559020932
sm;0.492762663
sn;0.438332481
so;0.751642315
sp;0.654152327
ss;0.74466122
st;0.862147597
su;0.707061055
sw;0.464870923
sy;0.430611282
ta;0.752605752
tc;0.468752235
te;0.859034634
tf;0.403725029
th;0.999538467
ti;0.803007295
tl;0.684218879
tm;0.373012093
tn;0.377332897
to;0.86415674
tr;0.717517595
ts;0.665304369
tt;0.70514088
tu;0.6479413
tw;0.56657231
ty;0.620584774
ua;0.53814735
ub;0.515173017
uc;0.603105148
ud;0.56657231
ue;0.617504201
uf;0.324368178
ug;0.668348536
ui;0.625055579
ul;0.756535024
um;0.526084863
un;0.733509177
uo;0.284491334
up;0.670988139
ur;0.792895707
us;0.7782808
ut;0.786060317
uv;0.284491334
uz;0.284491334
va;0.516438087
ve;0.856481847
vi;0.651862496
vo;0.545210507
wa;0.829946212
wd;0.368521802
we;0.773984565
wh;0.779677783
wi;0.772381443
wl;0.377332897
wn;0.609419355
wo;0.708245013
wr;0.579605038
ws;0.400307231
wy;0.310038534
xa;0.477916143
xc;0.476141104
xe;0.330912116
xi;0.358975631
xp;0.527235503
xt;0.497312444
ya;0.363848184
yc;0.492762663
ye;0.678254627
